[Thu Jul  6 23:26:26 2023] ThreadID[15416]	[INFO]	Location: X 15.667400 Y 0.000000 Z -16.797100
[Thu Jul  6 23:26:26 2023] ThreadID[15416]	[INFO]	Model Detected: Mountain_Group_2.006
[Thu Jul  6 23:26:26 2023] ThreadID[15416]	[INFO]	Location: X -9.217200 Y 0.000000 Z 16.955299
[Thu Jul  6 23:26:26 2023] ThreadID[15416]	[INFO]	Model Detected: Mountain_Group_2.007
[Thu Jul  6 23:26:26 2023] ThreadID[15416]	[INFO]	Location: X -15.898400 Y 0.000000 Z -4.665900
[Thu Jul  6 23:26:26 2023] ThreadID[15416]	[INFO]	Model Detected: Mountain_Group_2.008
[Thu Jul  6 23:26:26 2023] ThreadID[15416]	[INFO]	Location: X 5.090200 Y 0.000000 Z -17.068100
[Thu Jul  6 23:26:26 2023] ThreadID[15416]	[INFO]	Model Detected: Mountain_Group_1.008
[Thu Jul  6 23:26:26 2023] ThreadID[15416]	[INFO]	Location: X -0.598600 Y 0.000000 Z -16.961000
[Thu Jul  6 23:26:26 2023] ThreadID[15416]	[INFO]	Model Detected: Mountain_Group_1.009
[Thu Jul  6 23:26:26 2023] ThreadID[15416]	[INFO]	Location: X -15.767800 Y 0.000000 Z 0.043500
[Thu Jul  6 23:26:26 2023] ThreadID[15416]	[INFO]	Model Detected: Mountain_Group_1.010
[Thu Jul  6 23:26:26 2023] ThreadID[15416]	[INFO]	Location: X 13.975100 Y -0.000000 Z 5.459700
[Thu Jul  6 23:26:26 2023] ThreadID[15416]	[INFO]	Model Detected: Mountain_Group_1.011
[Thu Jul  6 23:26:26 2023] ThreadID[15416]	[INFO]	Location: X -4.597100 Y -0.000000 Z 13.966900
[Thu Jul  6 23:26:26 2023] ThreadID[15416]	[INFO]	Model Detected: Mountain_Group_2.009
[Thu Jul  6 23:26:26 2023] ThreadID[15416]	[INFO]	Location: X -14.070200 Y 0.000000 Z 4.852300
[Thu Jul  6 23:26:26 2023] ThreadID[15416]	[INFO]	Model Detected: Mountain_Group_1.012
[Thu Jul  6 23:26:26 2023] ThreadID[15416]	[INFO]	Location: X -12.924300 Y -0.000000 Z 8.296200
[Thu Jul  6 23:26:26 2023] ThreadID[15416]	[INFO]	Model Detected: Mountain_Group_1.013
[Thu Jul  6 23:26:26 2023] ThreadID[15416]	[INFO]	Location: X 0.375100 Y -0.000000 Z 15.343600
[Thu Jul  6 23:26:26 2023] ThreadID[15416]	[INFO]	Model Detected: Mountain_Group_1.014
[Thu Jul  6 23:26:26 2023] ThreadID[15416]	[INFO]	Location: X 10.955100 Y -0.000000 Z 13.162700
[Thu Jul  6 23:26:26 2023] ThreadID[15416]	[INFO]	Model Detected: Mountain_Group_1.015
[Thu Jul  6 23:26:26 2023] ThreadID[15416]	[INFO]	Location: X 14.176200 Y -0.000000 Z -4.018800
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Model Detected: WallTowers_SecondAge.001
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Location: X 3.990000 Y -0.000000 Z 9.811200
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Model Detected: WallTowers_SecondAge.002
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Location: X -2.088300 Y 0.357500 Z 10.112500
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Model Detected: Houses_SecondAge_3_Level1.001
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Location: X 3.797500 Y -0.000000 Z 8.691400
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Model Detected: Houses_SecondAge_3_Level1.002
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Location: X 2.785700 Y -0.000000 Z 8.705700
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Model Detected: Houses_SecondAge_3_Level3.001
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Location: X 2.684600 Y 0.000000 Z 6.363000
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Model Detected: WallTowers_SecondAge.004
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Location: X 6.316200 Y 0.000000 Z 3.513100
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Model Detected: WallTowers_SecondAge.005
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Location: X 6.333400 Y 0.000000 Z -1.160400
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Model Detected: WatchTower_SecondAge_Level3.001
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Location: X 6.342800 Y 0.000000 Z 1.205200
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Model Detected: Farm_SecondAge_Level3.001
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Location: X 4.812300 Y 0.000000 Z 3.161400
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Model Detected: WallTowers_SecondAge.006
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Location: X 6.196100 Y 0.000000 Z 8.313600
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Model Detected: WatchTower_SecondAge_Level3.002
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Location: X 6.307900 Y 0.000000 Z 5.875300
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Model Detected: Plane.001
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Location: X 0.000000 Y 0.000000 Z 0.000000
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Model Detected: WallTowers_SecondAge.007
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Location: X 6.316200 Y 0.000000 Z 3.513100
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Model Detected: WallTowers_SecondAge.008
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Location: X 6.333400 Y 0.000000 Z -1.160400
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Model Detected: WatchTower_SecondAge_Level3.003
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Location: X 6.342800 Y 0.000000 Z 1.205200
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Model Detected: WallTowers_SecondAge.009
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Location: X -4.467600 Y 0.000000 Z 3.526200
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Model Detected: WallTowers_SecondAge.010
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Location: X -4.450400 Y 0.000000 Z -1.147400
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Model Detected: WatchTower_SecondAge_Level3.004
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Location: X -4.441000 Y 0.000000 Z 1.218200
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Model Detected: WallTowers_SecondAge.011
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Location: X -4.407800 Y 0.000000 Z 8.357900
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Model Detected: WatchTower_SecondAge_Level3.005
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Location: X -4.475900 Y 0.000000 Z 5.888300
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Model Detected: Barracks_SecondAge_Level3.001
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Location: X 0.949600 Y 0.000000 Z 9.892100
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Model Detected: Wonder_SecondAge_Level3.001
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Location: X 0.212000 Y 0.000000 Z -0.948500
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Model Detected: WallTowers_SecondAge.003
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Location: X 3.990000 Y -0.000000 Z 9.811200
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Model Detected: WallTowers_SecondAge.012
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Location: X -2.088300 Y 0.357500 Z 10.112500
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Model Detected: WallTowers_SecondAge.013
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Location: X 3.840800 Y -0.000000 Z -4.378800
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Model Detected: WallTowers_SecondAge.014
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Location: X -2.237500 Y 0.357500 Z -4.077500
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Model Detected: Barracks_SecondAge_Level3.002
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Location: X 0.800400 Y 0.000000 Z -4.297800
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Model Detected: WatchTower_SecondAge_Level3.006
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Location: X 3.105900 Y 0.000000 Z -0.614700
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Model Detected: WatchTower_SecondAge_Level3.007
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Location: X 6.252900 Y 0.000000 Z -3.683400
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Model Detected: WatchTower_SecondAge_Level3.008
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Location: X -4.656200 Y 0.000000 Z -3.950900
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Model Detected: Market_FirstAge_Level3.001
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Location: X -0.956300 Y 0.000000 Z 6.448200
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[MESSAGE]	Game Level File Reading Complete.
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[MESSAGE]	Begin Importing .H2B File Data.
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[ERROR]	H2B Not Found: ../Models/Archery_SecondAge_Level3.h2b
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[WARNING]	Loading will continue but model(s) are missing.
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[ERROR]	H2B Not Found: ../Models/Barracks_SecondAge_Level3.h2b
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[WARNING]	Loading will continue but model(s) are missing.
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[ERROR]	H2B Not Found: ../Models/Farm_SecondAge_Level3.h2b
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[WARNING]	Loading will continue but model(s) are missing.
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[ERROR]	H2B Not Found: ../Models/Farm_SecondAge_Level3_Wheat.h2b
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[WARNING]	Loading will continue but model(s) are missing.
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[ERROR]	H2B Not Found: ../Models/Houses_SecondAge_3_Level1.h2b
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[WARNING]	Loading will continue but model(s) are missing.
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[ERROR]	H2B Not Found: ../Models/Houses_SecondAge_3_Level2.h2b
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[WARNING]	Loading will continue but model(s) are missing.
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[ERROR]	H2B Not Found: ../Models/Houses_SecondAge_3_Level3.h2b
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[WARNING]	Loading will continue but model(s) are missing.
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[ERROR]	H2B Not Found: ../Models/Market_FirstAge_Level3.h2b
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[WARNING]	Loading will continue but model(s) are missing.
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[ERROR]	H2B Not Found: ../Models/Mountain_Group_1.h2b
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[WARNING]	Loading will continue but model(s) are missing.
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[ERROR]	H2B Not Found: ../Models/Mountain_Group_2.h2b
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[WARNING]	Loading will continue but model(s) are missing.
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[ERROR]	H2B Not Found: ../Models/Plane.h2b
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[WARNING]	Loading will continue but model(s) are missing.
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[ERROR]	H2B Not Found: ../Models/Port_FirstAge_Level1.h2b
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[WARNING]	Loading will continue but model(s) are missing.
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[ERROR]	H2B Not Found: ../Models/Storage_SecondAge_Level1.h2b
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[WARNING]	Loading will continue but model(s) are missing.
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[ERROR]	H2B Not Found: ../Models/Temple_FirstAge_Level3.h2b
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[WARNING]	Loading will continue but model(s) are missing.
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[ERROR]	H2B Not Found: ../Models/TowerHouse_SecondAge.h2b
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[WARNING]	Loading will continue but model(s) are missing.
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[ERROR]	H2B Not Found: ../Models/TownCenter_SecondAge_Level3.h2b
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[WARNING]	Loading will continue but model(s) are missing.
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[ERROR]	H2B Not Found: ../Models/WallTowers_SecondAge.h2b
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[WARNING]	Loading will continue but model(s) are missing.
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[ERROR]	H2B Not Found: ../Models/WatchTower_SecondAge_Level3.h2b
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[WARNING]	Loading will continue but model(s) are missing.
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[ERROR]	H2B Not Found: ../Models/Windmill_SecondAge.h2b
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[WARNING]	Loading will continue but model(s) are missing.
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[ERROR]	H2B Not Found: ../Models/Wonder_SecondAge_Level3.h2b
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[WARNING]	Loading will continue but model(s) are missing.
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[MESSAGE]	Importing of .H2B File Data Complete.
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[EVENT]	GAME LEVEL WAS LOADED TO CPU [DATA ORIENTED]
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[EVENT]	LOADING GAME LEVEL [OBJECT ORIENTED]
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[MESSAGE]	Begin Reading Game Level Text File.
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Model Detected: Archery_SecondAge_Level3
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Location: X 4.604200 Y 0.000000 Z -1.266500
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[MESSAGE]	Begin Importing .H2B File Data.
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[ERROR]	H2B Not Found: ../Models/Archery_SecondAge_Level3.h2b
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[WARNING]	Loading will continue but model(s) are missing.
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[MESSAGE]	Importing of .H2B File Data Complete.
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Model Detected: Barracks_SecondAge_Level3
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Location: X 0.949600 Y 0.000000 Z 9.892100
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[MESSAGE]	Begin Importing .H2B File Data.
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[ERROR]	H2B Not Found: ../Models/Barracks_SecondAge_Level3.h2b
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[WARNING]	Loading will continue but model(s) are missing.
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[MESSAGE]	Importing of .H2B File Data Complete.
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Model Detected: Farm_SecondAge_Level3
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Location: X 4.812300 Y 0.000000 Z 3.161400
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[MESSAGE]	Begin Importing .H2B File Data.
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[ERROR]	H2B Not Found: ../Models/Farm_SecondAge_Level3.h2b
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[WARNING]	Loading will continue but model(s) are missing.
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[MESSAGE]	Importing of .H2B File Data Complete.
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Model Detected: Farm_SecondAge_Level3_Wheat
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Location: X 4.838800 Y 0.000000 Z 3.153600
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[MESSAGE]	Begin Importing .H2B File Data.
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[ERROR]	H2B Not Found: ../Models/Farm_SecondAge_Level3_Wheat.h2b
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[WARNING]	Loading will continue but model(s) are missing.
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[MESSAGE]	Importing of .H2B File Data Complete.
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Model Detected: Houses_SecondAge_3_Level1
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Location: X 4.837600 Y -0.000000 Z 8.649200
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[MESSAGE]	Begin Importing .H2B File Data.
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[ERROR]	H2B Not Found: ../Models/Houses_SecondAge_3_Level1.h2b
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[WARNING]	Loading will continue but model(s) are missing.
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[MESSAGE]	Importing of .H2B File Data Complete.
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Model Detected: Houses_SecondAge_3_Level2
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Location: X -3.299200 Y 0.000000 Z 5.352400
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[MESSAGE]	Begin Importing .H2B File Data.
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[ERROR]	H2B Not Found: ../Models/Houses_SecondAge_3_Level2.h2b
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[WARNING]	Loading will continue but model(s) are missing.
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[MESSAGE]	Importing of .H2B File Data Complete.
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Model Detected: Houses_SecondAge_3_Level3
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Location: X 4.447600 Y 0.000000 Z 6.104400
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[MESSAGE]	Begin Importing .H2B File Data.
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[ERROR]	H2B Not Found: ../Models/Houses_SecondAge_3_Level3.h2b
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[WARNING]	Loading will continue but model(s) are missing.
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[MESSAGE]	Importing of .H2B File Data Complete.
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Model Detected: Market_FirstAge_Level3
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Location: X -2.707600 Y 0.000000 Z 8.114300
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[MESSAGE]	Begin Importing .H2B File Data.
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[ERROR]	H2B Not Found: ../Models/Market_FirstAge_Level3.h2b
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[WARNING]	Loading will continue but model(s) are missing.
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[MESSAGE]	Importing of .H2B File Data Complete.
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Model Detected: Mountain_Group_1
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Location: X 16.401600 Y 0.000000 Z 14.985800
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[MESSAGE]	Begin Importing .H2B File Data.
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[ERROR]	H2B Not Found: ../Models/Mountain_Group_1.h2b
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[WARNING]	Loading will continue but model(s) are missing.
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[MESSAGE]	Importing of .H2B File Data Complete.
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Model Detected: Mountain_Group_2
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Location: X 17.352301 Y 0.000000 Z -7.168500
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[MESSAGE]	Begin Importing .H2B File Data.
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[ERROR]	H2B Not Found: ../Models/Mountain_Group_2.h2b
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[WARNING]	Loading will continue but model(s) are missing.
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[MESSAGE]	Importing of .H2B File Data Complete.
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Model Detected: Port_FirstAge_Level1
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Location: X 8.331700 Y 0.000000 Z -11.760400
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[MESSAGE]	Begin Importing .H2B File Data.
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[ERROR]	H2B Not Found: ../Models/Port_FirstAge_Level1.h2b
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[WARNING]	Loading will continue but model(s) are missing.
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[MESSAGE]	Importing of .H2B File Data Complete.
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Model Detected: Storage_SecondAge_Level1
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Location: X 2.740000 Y 0.000000 Z 2.124800
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[MESSAGE]	Begin Importing .H2B File Data.
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[ERROR]	H2B Not Found: ../Models/Storage_SecondAge_Level1.h2b
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[WARNING]	Loading will continue but model(s) are missing.
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[MESSAGE]	Importing of .H2B File Data Complete.
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Model Detected: Temple_FirstAge_Level3
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Location: X -2.698300 Y -0.000000 Z 3.751400
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[MESSAGE]	Begin Importing .H2B File Data.
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[ERROR]	H2B Not Found: ../Models/Temple_FirstAge_Level3.h2b
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[WARNING]	Loading will continue but model(s) are missing.
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[MESSAGE]	Importing of .H2B File Data Complete.
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Model Detected: TowerHouse_SecondAge
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Location: X 2.971600 Y 0.000000 Z 4.040300
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[MESSAGE]	Begin Importing .H2B File Data.
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[ERROR]	H2B Not Found: ../Models/TowerHouse_SecondAge.h2b
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[WARNING]	Loading will continue but model(s) are missing.
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[MESSAGE]	Importing of .H2B File Data Complete.
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Model Detected: TownCenter_SecondAge_Level3
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Location: X -0.238600 Y 0.000000 Z 3.749700
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[MESSAGE]	Begin Importing .H2B File Data.
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[ERROR]	H2B Not Found: ../Models/TownCenter_SecondAge_Level3.h2b
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[WARNING]	Loading will continue but model(s) are missing.
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[MESSAGE]	Importing of .H2B File Data Complete.
[Thu Jul  6 23:26:27 2023] ThreadID[15416]	[INFO]	Model Detected: WallTowers_SecondAge
